Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GEH22 (Mar '22)",99.3525,0.0075000000000074,99.335,99.3825,99.31,99.345,163066,932818,"07:36 CT"
"GEJ22 (Apr '22)",99.19,0.034999999999997,99.14,99.205,99.125,99.155,12979,115961,"07:36 CT"
"GEK22 (May '22)",99.075,0.045000000000002,99.01,99.105,98.995,99.03,5905,46231,"07:35 CT"
"GEM22 (Jun '22)",98.965,0.045000000000002,98.92,99.025,98.875,98.92,163877,1061064,"07:36 CT"
"GEN22 (Jul '22)",98.81,0.135,98.765,98.81,98.745,98.675,615,19785,2022-02-28
"GEQ22 (Aug '22)",98.8,0.094999999999999,98.8,98.8,98.8,98.705,1,254,"04:31 CT"
"GEU22 (Sep '22)",98.705,0.105,98.615,98.79,98.56,98.6,176542,837511,"07:36 CT"
"GEZ22 (Dec '22)",98.4,0.125,98.29,98.495,98.24,98.275,308036,1279615,"07:36 CT"
"GEH23 (Mar '23)",98.22,0.14,98.09,98.345,98.04,98.08,236293,921669,"07:36 CT"
"GEM23 (Jun '23)",98.055,0.14500000000001,97.915,98.175,97.86,97.91,212642,951251,"07:36 CT"
"GEU23 (Sep '23)",97.99,0.125,97.86,98.1,97.815,97.865,138820,771405,"07:36 CT"
"GEZ23 (Dec '23)",97.965,0.11,97.845,98.065,97.8,97.855,239893,1280366,"07:36 CT"
"GEH24 (Mar '24)",98.025,0.11,97.91,98.12,97.87,97.915,114350,546968,"07:36 CT"
"GEM24 (Jun '24)",98.07,0.10499999999999,97.96,98.16,97.93,97.965,71285,442994,"07:36 CT"
"GEU24 (Sep '24)",98.085,0.094999999999999,97.975,98.17,97.95,97.99,67396,396049,"07:36 CT"
"GEZ24 (Dec '24)",98.085,0.094999999999999,97.99,98.165,97.955,97.99,90297,638371,"07:36 CT"
"GEH25 (Mar '25)",98.105,0.090000000000003,98.015,98.18,97.985,98.015,57522,286267,"07:36 CT"
"GEM25 (Jun '25)",98.11,0.084999999999994,98.02,98.185,97.995,98.025,44281,157333,"07:36 CT"
"GEU25 (Sep '25)",98.105,0.079999999999998,98.025,98.18,97.995,98.025,34853,125271,"07:36 CT"
"GEZ25 (Dec '25)",98.09,0.075000000000003,98.005,98.16,97.98,98.015,31989,157415,"07:36 CT"
"GEH26 (Mar '26)",98.085,0.074999999999989,98,98.15,97.98,98.01,16965,76621,"07:36 CT"
"GEM26 (Jun '26)",98.065,0.069999999999993,97.99,98.13,97.965,97.995,19778,78516,"07:36 CT"
"GEU26 (Sep '26)",98.05,0.069999999999993,97.975,98.11,97.95,97.98,19641,77138,"07:36 CT"
"GEZ26 (Dec '26)",98.035,0.064999999999998,97.965,98.095,97.935,97.97,21691,56831,"07:36 CT"
"GEH27 (Mar '27)",98.025,0.065000000000012,97.95,98.08,97.93,97.96,1300,12652,"07:36 CT"
"GEM27 (Jun '27)",98,0.049999999999997,97.915,98.07,97.915,97.95,716,6920,"07:32 CT"
"GEU27 (Sep '27)",98.005,0.060000000000002,97.915,98.055,97.91,97.945,638,2705,"07:33 CT"
"GEZ27 (Dec '27)",97.99,0.054999999999993,97.91,98.05,97.905,97.935,618,3533,"07:33 CT"
"GEH28 (Mar '28)",97.93,0.14,0,97.93,97.93,97.79,177,1235,2022-02-28
"GEM28 (Jun '28)",97.92,0.14,0,97.92,97.92,97.78,0,850,2022-02-28
"GEU28 (Sep '28)",97.92,0.14,97.9,97.92,97.9,97.78,24,335,2022-02-28
"GEZ28 (Dec '28)",97.92,0.14,97.895,97.92,97.895,97.78,5,187,2022-02-28
"GEH29 (Mar '29)",97.925,0.14,0,97.925,97.925,97.785,0,30,2022-02-28
"GEM29 (Jun '29)",97.925,0.14,0,97.925,97.925,97.785,0,2,2022-02-28
"GEU29 (Sep '29)",97.925,0.14,0,97.925,97.925,97.785,N/A,8,2022-03-01
"GEZ29 (Dec '29)",97.925,0.14,0,97.925,97.925,97.785,0,12,2022-02-28
"GEH30 (Mar '30)",97.935,0.14,0,97.935,97.935,97.795,0,0,2022-02-28
"GEM30 (Jun '30)",97.945,0.14,0,97.945,97.945,97.805,0,0,2022-02-28
"GEU30 (Sep '30)",97.955,0.14,0,97.955,97.955,97.815,0,0,2022-02-28
"GEZ30 (Dec '30)",97.945,0.14,0,97.945,97.945,97.805,0,9,2022-02-28
"GEH31 (Mar '31)",97.96,0.14,0,97.96,97.96,97.82,0,0,2022-02-28
"GEM31 (Jun '31)",97.97,0.14,0,97.97,97.97,97.83,N/A,N/A,2022-03-01
"GEU31 (Sep '31)",97.965,0.14,0,97.965,97.965,97.825,N/A,N/A,2022-03-01
"GEZ31 (Dec '31)",97.965,0.14,0,97.965,97.965,97.825,N/A,N/A,2022-03-01
"Downloaded from Barchart.com as of 03-01-2022 07:46am CST"
